F2_20211214,F1_20211213,F4_20211213,F3_20211213,F4_20211214,F5_20211213,F3_20211214,F1_20211214,F2_20211213,F5_20211214,F6_20211214,F6_20211213
50755003.49772601,0.0,0.0,0.0,0.0,0.0,2779493.527538601,8544496.757836984,0.0,0.0,0.0,0.0
46660639.48031365,0.0,0.0,0.0,0.0,0.0,0.0,6644209.905796491,0.0,0.0,0.0,0.0
23115114.63515332,0.0,0.0,0.0,0.0,22642821.78695815,2076846.81691278,0.0,0.0,11857291.22322558,3276213.570193178,0.0
5455984.439484069,0.0,0.0,0.0,1399402.0490097068,0.0,4596321.055066238,2305655.5086270133,2049277.464972644,3240455.0692563104,2033892.6304756675,0.0
4897159.860951369,0.0,0.0,0.0,1170269.4438779666,0.0,3688926.4899828257,2101691.5815717643,0.0,2570291.4194874475,1166927.6742008468,0.0
3414359.524662274,0.0,0.0,0.0,0.0,0.0,2562295.9812141983,1954022.115042828,0.0,2433170.8209206024,0.0,0.0
1560227.257276402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2291267.1808971968,0.0,0.0,0.0
3099285.673339464,0.0,0.0,0.0,731264.1052071397,0.0,2799018.3139456245,1383782.283471107,1891528.83989022,1662001.2124561176,733410.9126297301,0.0
3133710.281638162,0.0,0.0,0.0,0.0,0.0,1757859.1579091272,1358644.316535456,0.0,1560669.6669265225,652978.491782619,0.0
2646617.6280144188,0.0,0.0,0.0,0.0,0.0,1553176.5894045606,1018700.3930248072,0.0,1413602.0523565502,0.0,0.0
2642595.4751630463,0.0,0.0,0.0,0.0,0.0,1673283.2156809117,1109100.6574820464,0.0,1485082.2831258646,0.0,0.0
2182562.421605899,0.0,0.0,0.0,541538.2134257283,0.0,2168466.2171811378,1096796.2359788087,0.0,1136222.4576611998,525470.1808810579,0.0
2130343.2726640627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3907610.2275431966,0.0,0.0,0.0
1807415.0827091716,0.0,1075078.2206801183,986011.047917952,1670184.3088965327,0.0,1625984.7163523445,1923636.7316054297,920795.212750454,0.0,0.0,0.0
2052065.2294212447,0.0,0.0,0.0,0.0,0.0,1026233.153771602,792851.5346780822,0.0,1028951.3507369264,0.0,0.0
1358370.4766635243,0.0,0.0,0.0,0.0,0.0,1028256.4806137888,674353.2705255002,0.0,917934.7565390276,0.0,0.0
2614081.9618958198,1393231.6856917725,1667142.1025903232,1565104.8881435758,2603172.529140721,1468662.2137765542,2836455.2927770587,2922802.579160199,1141869.640238756,707848.9354978389,720041.4514084149,0.0
3129232.3604846145,0.0,0.0,0.0,3218252.535714784,0.0,2783266.837891477,3451195.6587356366,0.0,0.0,2246966.611983533,0.0
1074619.491804798,0.0,0.0,0.0,0.0,0.0,1081637.695935009,0.0,0.0,0.0,0.0,0.0
850721.2560489948,0.0,0.0,0.0,0.0,0.0,1480955.7076445953,1804006.2276816573,0.0,4239643.61086947,1250643.7346889756,0.0
1832588.8720110697,0.0,0.0,0.0,0.0,0.0,391855.14960490016,0.0,1360352.197611477,0.0,0.0,0.0
