cluster index,retention time (min),Amyris balsamifera,Boswellia carteri,Cedrus atlantica,Citrus aurantium amara,Citrus aurantium bergamia,Cymbopogon flexuosus,Cymbopogon martini,Cymbopogon nardus,eucalipto_staigeriana,Eucalyptus citriodora,Eucalyptus globulus,Juniperus Communis,Lavandula angustifolia,Lavandula hybrida,Litsea cubeba,Mentha piperita,Origanum majorana,Perlagonium graveolens,Rosmarinus officinalis,Salvia sclareia
52,21.1535,0,0,0,151748.7796,8376,3366.9,16911.05465,0,0,445.2,0,0,4893.6,20713.19603,0,0,1722.9,233377.9138,0,31737.9046
56,21.9531,0,0,0,578914.8,9068.1,67748.68856,1553897.4,144346.8,0,78175.27404,0,2827.5,8538,59904,4945.5,0,8945.1,628101.3,0,176468.1
36,14.169,0,0,0,0,0,4015.05,0,0,0,0,0,0,0,0,9708.9,0,3234,68029.34414,14212.36475,0
42,16.5936,0,0,0,4740574.61,574783.0352,112254.3,2466936.3,602834.1,0,128188.5,0,0,6481827.6,4090114.8,22992.75,9826.5,321055.95,284849.85,2814.6,6247643.1
22,9.8955,0,9452.7,0,36201.82862,10613.28736,0,0,5722.2,0,0,8189.4,38393.26166,0,16972.77108,0,6837.3,307777.0468,1377,35121.34315,0
29,12.395,0,0,0,0,0,7796.1,0,2798607.587,0,0,0,0,0,0,48839.50327,1333797.154,2415.3,27645,0,0
60,23.3831,1830.9,472916.1522,0,30844.35122,0,72404.88624,54950.25404,0,96002.79238,189169.3797,0,198152.9042,17857.97197,19111.09991,28417.57177,102721.7179,92571.48696,8181.376371,46195.27279,28928.69742
61,24.5975,46471.8,0,990119.9787,0,0,0,0,0,8702.7,55435.86036,0,0,0,0,0,0,0,0,0,0
62,24.7513,27063.75,315595.8,0,7011,0,21003.3,26844,10909.2,878337,226340.7086,0,476370.1372,0,7958.7,0,40189.5,15543.55017,5961,11678.7,3786.9
63,24.9975,19664.9168,3492.6,0,0,0,0,0,0,62166.19898,0,0,7987.2,0,0,0,0,0,0,0,0
64,25.69,4952.41415,24411.3,636215.6131,0,0,0,0,4058.4,23737.6785,101935.0376,0,18522.6,0,0,0,0,0,4202.4,0,0
65,25.8613,173125.2,37166.11916,99704.7,0,0,3458.1,0,61984.03086,7978.2,322291.4531,0,143540.5998,0,33513.9,0,14011.98145,0,940.5,0,15314.29299
66,25.8654,288355.5,67542.9,154771.8,0,0,4255.65,0,87808.8,3557.85,184377.6931,0,218867.1,0,10352.93151,0,26835,0,5514.6,0,29855.1
67,26.4435,185579.55,18116.06123,5129.25,9189.3,0,0,0,0,3747.15,31245.75,0,6777.681609,0,0,0,3070.5,31846.5,1734.75,0,0
68,26.495,35873.25,4188.3,11161.65,12549.75972,0,0,0,0,0,66262.05,0,19159.95,0,0,0,6225.6,51574.76327,0,0,445.5
69,26.6262,17075.85,8114.4,5544258.869,0,0,0,0,7854.654835,134776.65,129073.7456,0,11757.83655,2843.7,0,0,0,0,0,0,0
80,32.0158,27704.7,43150.89317,0,0,0,0,0,27726.3,0,23116.17382,0,13597.05,0,22686,0,0,0,0,0,0
81,32.4833,254451.7825,900.3,0,0,0,0,0,14226.09306,45829.01388,34020.09708,0,12683.1,0,0,0,0,0,0,0,0
24,10.2841,0,7121.7,0,432600.0791,766453.2,76678.5,146069.7,19626,0,126568.5,0,4570.8,1142442.75,145052.9612,61230.9,9095.7,1263547.05,289408.5,31791.6,833838.6
25,10.7505,0,1858.5,0,1357.2,0,0,901.2,0,0,10662.6,0,2573.55,18133.30631,29646.15522,0,2538.6,2011.35,6849,0,0
26,10.795,0,0,0,0,0,0,0,0,0,988299.7001,0,0,0,0,0,0,0,798211.1528,0,0
27,12.055,0,7056,0,0,0,0,0,24919.2,0,0,0,0,3293.1,749284.9267,0,7497,0,944.4,2392481.911,0
20,8.8285,0,17546.4,0,5753.7,342454.6496,0,0,442.2,0,1951.2,9342.6,468269.8987,0,14302.8,4028.7,20607,1704493.991,2471.1,56184.13215,0
21,9.1267,0,0,0,0,0,0,0,0,0,0,0,0,0,6286.5,0,3800.083631,392952.2066,0,0,0
48,18.085,0,0,0,0,0,0,0,0,0,0,0,0,59614.37439,247697.9248,0,0,0,0,0,0
23,10.2834,0,4047.179577,0,899920.2888,778740.7007,60607.91931,91750.78985,17105.55553,0,111004.0326,0,7131.6,582537.0887,1281854.424,69862.89183,5059.383989,462159.0976,343226.4136,33635.9329,877851.4046
46,17.385,0,0,0,0,9938.7,0,0,0,0,0,0,0,53671.72926,0,0,897.3,0,37661.46909,0,0
47,17.88,0,27332.36428,0,0,0,0,0,0,0,0,0,15205.15183,1685.4,1479,0,0,7420.8,0,148954.4623,0
44,16.5936,0,0,0,2182793.015,3483322.548,112254.3,2466936.3,602834.1,0,128188.5,0,0,6481827.6,3901857.12,22992.75,9826.5,295378.9851,284849.85,2814.6,5882538.819
45,17.2514,0,0,0,19375.5,59300.31755,5191316.764,24086.95809,40966.28366,0,4042.5,0,0,72180.3,0,6949292.504,6021.3,0,14566.8,0,10736.4
28,12.0512,0,13193.4,0,0,0,2438.7,0,27060.45661,0,0,0,0,0,317233.5,5687.1,5032.106477,0,5920.072502,943327.5,0
43,16.5923,0,0,0,2533437.6,1276150.2,459167.7,301298.2007,2793819.3,0,82397.00301,0,0,2058516.3,1157358.9,61822.2,2279.1,99474.15,882342.15,0,1963802.4
40,15.9967,0,0,0,6937.5,26145.6891,1456908.987,13891.8,16962.9238,0,0,0,0,0,9070.2,2272419.156,48367.05,0,11258.1,0,0
41,16.59,0,0,0,2753234.85,1541468.7,297293.828,6623541.152,1975255.889,0,207840.3172,0,0,2415693.6,1320438.9,39704.49491,19102.5,109472.7,705426.7297,0,2319256.65
1,5.0136,0,443529,0,6890.7,12460.2,21447.45,0,0,0,0,0,260620.6592,2044.2,14990.1,7023,6296.4,139039.3034,0,18837,0
82,34.915,22090.50828,0,0,0,0,0,15711.9,0,0,27992.71884,0,0,0,0,0,0,0,0,0,0
