Samples,MS_filename,BioAct_filename
Amyris balsamifera,Amyris balsamifera,Amyris balsamifera
Boswellia carteri,Boswellia carteri,Boswellia carteri
Cedrus atlantica,Cedrus atlantica,Cedrus atlantica
Citrus aurantium amara,Citrus aurantium amara,Citrus aurantium amara
Citrus aurantium bergamia,Citrus aurantium bergamia,Citrus aurantium bergamia
Cymbopogon flexuosus,Cymbopogon flexuosus,Cymbopogon flexuosus
Cymbopogon martini,Cymbopogon martini,Cymbopogon martini
Cymbopogon nardus,Cymbopogon nardus,Cymbopogon nardus
eucalipto_staigeriana,eucalipto_staigeriana,eucalipto_staigeriana
Eucalyptus citriodora,Eucalyptus citriodora,Eucalyptus citriodora
Eucalyptus globulus,Eucalyptus globulus,Eucalyptus globulus
Juniperus Communis,Juniperus Communis,Juniperus Communis
Lavandula angustifolia,Lavandula angustifolia,Lavandula angustifolia
Lavandula hybrida,Lavandula hybrida,Lavandula hybrida
Litsea cubeba,Litsea cubeba,Litsea cubeba
Mentha piperita,Mentha piperita,Mentha piperita
Origanum majorana,Origanum majorana,Origanum majorana
Perlagonium graveolens,Perlagonium graveolens,Perlagonium graveolens
Rosmarinus officinalis,Rosmarinus officinalis,Rosmarinus officinalis
Salvia sclareia,Salvia sclareia,Salvia sclareia
