Samples,BioAct_filename,NMR_filename
M1,M1,M1_(RMN-A225).3.fid\nMuestra_M1_(RMN-A225)\nnoesypr1d_-_MeOD4_(99.8%_D)\n09_de_Septiembre_2016
M10,M10,M10_(RMN-A234).3.fid\nMuestra_M10_(RMN-A234)\nnoesypr1d_-_MeOD4_(99.8%_D)\n09_de_Septiembre_2016
M11,M11,M11_(RMN-A235).3.fid\nMuestra_M11_(RMN-A235)\nnoesypr1d_-_MeOD4_(99.8%_D)\n09_de_Septiembre_2016
M12,M12,M12_(RMN-A236).3.fid\nMuestra_M12_(RMN-A236)\nnoesypr1d_-_MeOD4_(99.8%_D)\n09_de_Septiembre_2016
M13,M13,M13_(RMN-A237).3.fid\nMuestra_M13_(RMN-A237)\nnoesypr1d_-_MeOD4_(99.8%_D)\n09_de_Septiembre_2016
M14,M14,M14_(RMN-A238).3.fid\nMuestra_M14_(RMN-A238)\nnoesypr1d_-_MeOD4_(99.8%_D)\n09_de_Septiembre_2016
M15,M15,M15_(RMN-A239).3.fid\nMuestra_M15_(RMN-A239)\nnoesypr1d_-_MeOD4_(99.8%_D)\n09_de_Septiembre_2016
M16,M16,M16_(RMN-A240).3.fid\nMuestra_M16_(RMN-A240)\nnoesypr1d_-_MeOD4_(99.8%_D)\n09_de_Septiembre_2016
M17,M17,M17_(RMN-A241).3.fid\nMuestra_M17_(RMN-A241)\nnoesypr1d_-_MeOD4_(99.8%_D)\n09_de_Septiembre_2016
M18,M18,M18_(RMN-A242).4.fid\nMuestra_M18_(RMN-A242)\nnoesypr1d_-_MeOD4_(99.8%_D)\n09_de_Septiembre_2016
M19,M19,M19_(RMN-A243).3.fid\nMuestra_M19_(RMN-A243)\nnoesypr1d_-_MeOD4_(99.8%_D)\n09_de_Septiembre_2016
M2,M2,M2_(RMN-A226).3.fid\nMuestra_M2_(RMN-A226)\nnoesypr1d_-_MeOD4_(99.8%_D)\n09_de_Septiembre_2016
M20,M20,M20_(RMN-A244).3.fid\nMuestra_M20_(RMN-A244)\nnoesypr1d_-_MeOD4_(99.8%_D)\n09_de_Septiembre_2016
M21,M21,M21_(RMN-A245).3.fid\nMuestra_M21_(RMN-A245)\nnoesypr1d_-_MeOD4_(99.8%_D)\n09_de_Septiembre_2016
M22,M22,M22_(RMN-A246).3.fid\nMuestra_M22_(RMN-A246)\nnoesypr1d_-_MeOD4_(99.8%_D)\n09_de_Septiembre_2016
M23,M23,M23_(RMN-A247).3.fid\nMuestra_M23_(RMN-A247)\nnoesypr1d_-_MeOD4_(99.8%_D)\n09_de_Septiembre_2016
M24,M24,M24_(RMN-A248).3.fid\nMuestra_M24_(RMN-A248)\nnoesypr1d_-_MeOD4_(99.8%_D)\n09_de_Septiembre_2016
M25,M25,M25_(RMN-A249).3.fid\nMuestra_M25_(RMN-A249)\nnoesypr1d_-_MeOD4_(99.8%_D)\n09_de_Septiembre_2016
M26,M26,M26_(RMN-A250).3.fid\nMuestra_M26_(RMN-A250)\nnoesypr1d_-_MeOD4_(99.8%_D)\n09_de_Septiembre_2016
M27,M27,M27_(RMN-A251).3.fid\nMuestra_M27_(RMN-A251)\nnoesypr1d_-_MeOD4_(99.8%_D)\n09_de_Septiembre_2016
M29,M29,M29_(RMN-A253).3.fid\nMuestra_M29_(RMN-A253)\nnoesypr1d_-_MeOD4_(99.8%_D)\n09_de_Septiembre_2016
M3,M3,M3_(RMN-A227).3.fid\nMuestra_M3_(RMN-A227)\nnoesypr1d_-_MeOD4_(99.8%_D)\n09_de_Septiembre_2016
M30,M30,M30_(RMN-A254).3.fid\nMuestra_M30_(RMN-A254)\nnoesypr1d_-_MeOD4_(99.8%_D)\n09_de_Septiembre_2016
M31,M31,M31_(RMN-A255).3.fid\nMuestra_M31_(RMN-A255)\nnoesypr1d_-_MeOD4_(99.8%_D)\n09_de_Septiembre_2016
M32,M32,M32_(RMN-A256).3.fid\nMuestra_M32_(RMN-A256)\nnoesypr1d_-_MeOD4_(99.8%_D)\n09_de_Septiembre_2016
M33,M33,M33_(RMN-A257).3.fid\nMuestra_M33_(RMN-A257)\nnoesypr1d_-_MeOD4_(99.8%_D)\n09_de_Septiembre_2016
M34,M34,M34_(RMN-A258).3.fid\nMuestra_M34_(RMN-A258)\nnoesypr1d_-_MeOD4_(99.8%_D)\n09_de_Septiembre_2016
M36,M36,M36_(RMN-A260).3.fid\nMuestra_M36_(RMN-A260)\nnoesypr1d_-_MeOD4_(99.8%_D)\n09_de_Septiembre_2016
M37,M37,M37_(RMN-A261).3.fid\nMuestra_M37_(RMN-A261)\nnoesypr1d_-_MeOD4_(99.8%_D)\n09_de_Septiembre_2016
M38,M38,M38_(RMN-A262).3.fid\nMuestra_M38_(RMN-A262)\nnoesypr1d_-_MeOD4_(99.8%_D)\n09_de_Septiembre_2016
M39,M39,M39_(RMN-A263).3.fid\nM39_(RMN-A263)\nnoesypr1d_-_MeOD4_(99.8%_D)\n09_de_Septiembre_2016
M4,M4,M4_(RMN-A228).3.fid\nMuestra_M4_(RMN-A228)\nnoesypr1d_-_MeOD4_(99.8%_D)\n09_de_Septiembre_2016
