MR2011,MA2006,MR1904,MA2009,MA2010,MA2011,MR1803,MR1811
-0.024346787,-0.005229491,-0.024346787,0.007027083,-0.025714256,-0.011127944,0.006781975,-0.015227719
0.003273821,0.000867896,0.003273821,0.007027083,-0.025714256,0.021652061,0.009911103,-0.014114023
0.000609254,0.006159568,0.000609254,0.007027083,-0.025714256,-0.029606565,-0.028235097,0.027314953
-0.001594954,0.005531375,-0.001594954,0.007027083,-0.025714256,-0.022650411,-0.013605667,-0.001871759
-0.002510474,0.005433559,-0.002510474,0.007027083,-0.025714256,0.022230675,0.002802922,-0.011108994
0.005206757,0.009231476,0.005206757,0.007027083,-0.025714256,0.012669236,-0.008063212,-0.004885086
0.018668465,0.006398163,0.018668465,0.007027083,-0.025714256,-0.007149401,0.006581958,0.01604836
-0.009054024,-0.036641201,-0.009054024,0.007027083,-0.025714256,0.01704716,-0.034138644,0.007454798
-0.007783228,-0.014698895,-0.007783228,0.007027083,-0.025714256,-0.006009638,-0.014179899,0.00890803
-0.006274994,0.018230076,-0.006274994,-0.02703932,-0.025714256,0.044698298,0.008619223,-0.001939323
-0.00410233,-0.01347861,-0.00410233,-0.032180033,0.001412806,0.007045477,0.022837118,-0.021032723
-0.001929679,-0.053655757,-0.001929679,-0.030499952,-0.026158869,0.013322571,-0.015372424,-0.025759683
0.000242965,-0.02726132,0.000242965,-0.019249917,-0.02502659,-0.028221338,-0.043369643,-0.032111591
0.001033829,0.021800812,0.001033829,-0.006251429,-0.005071198,0.010354933,-0.006847099,0.016595062
-0.002040684,0.006194739,-0.002040684,-0.004737092,0.016647984,0.000116783,-0.005355811,0.013638483
-0.005115177,-0.018118487,-0.005115177,-0.005320693,0.005309429,-0.005512266,-0.014540944,0.008748501
-0.008189683,0.014047589,-0.008189683,-0.019714127,0.001468319,0.015512211,-0.037047798,-8.78e-05
-0.011019455,0.003368479,-0.011019455,-0.03662988,0.004059068,-0.011530598,-0.025471615,-0.016306882
-0.013164776,-0.003769347,-0.013164776,-0.004734946,0.001390604,-0.00928649,-0.031307061,-0.019467478
-0.016461862,0.006558816,-0.016461862,-0.009866872,-0.003064305,-0.008301668,0.001846177,0.010906053
-0.022979842,-0.041534161,-0.022979842,-0.007594915,-0.012427964,-0.016536491,-0.001757886,-0.007418069
-0.017172017,-0.046895829,-0.017172017,-0.00243971,-0.023458717,-0.021511339,-0.03305535,0.003441707
0.00466513,0.039512306,0.00466513,0.014201075,0.010742681,-0.00973768,-0.012565444,0.023214084
-0.014659265,0.037316503,-0.014659265,-0.013004669,-0.018239965,-0.035388614,-0.012565444,-0.019179806
-0.004998438,0.0351207,-0.004998438,-0.012462994,-0.008672204,0.034215378,-0.012565444,0.005483204
0.003153718,0.032924896,0.003153718,-0.005327061,-0.0106225,0.016311024,-0.012565444,-0.004640217
0.007089083,0.020273281,0.007089083,-0.003934294,-0.014183325,-0.007016197,-0.012565444,-0.015480999
0.020012369,-0.04911832,0.020012369,-0.00358944,0.019253342,-0.021372586,-0.001378142,-0.029926777
0.032241643,0.012522417,0.032241643,0.021164487,-0.016976647,0.013276695,-0.016188818,-0.023588276
-0.009340191,-0.016801434,-0.009340191,0.004424133,-0.016976647,-0.053963743,-0.017819645,-0.011909706
0.000279595,0.043050611,0.000279595,0.005148257,-0.016976647,0.010084818,0.017378683,-0.011497852
0.007594348,0.003998435,0.007594348,0.010586416,-0.016976647,0.010084818,0.029488417,0.012781215
0.008468872,0.023351361,0.008468872,0.015396357,-0.016976647,0.010084818,-0.006368817,0.015545701
0.012657207,0.014147645,0.012657207,0.02009166,-0.016976647,0.010084818,-0.001331919,0.017078463
0.015037184,0.001862029,0.015037184,0.013299407,-0.016976647,0.010084818,-0.011158018,0.0161013
-0.001044513,-0.032976128,-0.001044513,0.004412655,-0.016976647,0.010084818,-0.017537411,0.004565642
0.006581567,-0.060717832,0.006581567,-0.006628094,-0.016976647,0.010084818,-0.014289266,-0.011588678
-0.008632659,-0.036541598,-0.008632659,-0.018061463,-0.016976647,0.010084818,0.003091875,0.007204931
-0.001308507,-0.01409527,-0.001308507,0.005877558,-0.016976647,0.010084818,0.032366452,0.010178594
-0.005744702,-0.01409527,-0.005744702,0.002225588,-0.016976647,0.010084818,-0.005032739,-0.018098348
-0.024572823,-0.01409527,-0.024572823,-0.000596035,-0.016976647,0.010084818,-0.013551435,-0.011760396
0.004606443,-0.01409527,0.004606443,-0.003266485,0.001118019,0.010084818,-0.006706027,0.026131233
0.01292612,-0.01409527,0.01292612,-0.001149186,0.023465933,-0.007879016,0.02648726,0.011456959
-0.002280743,-0.01409527,-0.002280743,0.001839591,0.017753859,-0.007879016,0.00623336,0.000303243
0.003116721,-0.01409527,0.003116721,-0.026532197,0.002525062,-0.007879016,-0.017683827,-0.003680625
0.005515554,-0.01409527,0.005515554,0.015995897,0.002378918,-0.007879016,-0.010914322,-0.012417689
-0.000455816,-0.01409527,-0.000455816,0.003516709,0.007347565,-0.007879016,-0.030907478,-0.002665453
0.006491245,-0.01409527,0.006491245,0.024458065,0.014420851,-0.007879016,-0.008836333,0.029582651
0.023655171,-0.01409527,0.023655171,0.019467037,0.022207699,0.008860336,0.001684349,0.007757097
-0.003402663,-0.01409527,-0.003402663,0.008236942,0.016856597,0.021296791,0.007203792,0.012068037
0.021520073,-0.01409527,0.021520073,0.025736942,0.040727454,0.002284442,-0.001233178,-0.017371824
-0.013434536,-0.004303679,-0.013434536,0.002493556,-0.006369055,-0.015466463,-0.002081323,-0.041426762
-0.014267971,0.003358018,-0.014267971,-0.001815359,-0.010108874,-0.023999862,0.001686779,-0.001379945
-0.007371264,-0.004554785,-0.007371264,-0.001161015,-0.001042958,-0.025853386,-0.015645886,-0.001379945
0.01001503,-0.011324721,0.01001503,-0.00337983,0.008498016,0.009213432,0.009439428,-0.001379945
-0.009730134,-0.009739859,-0.009730134,-0.006121021,-0.013547189,-0.033323688,-0.027978706,-0.001379945
-0.035778643,-0.012949306,-0.035778643,0.005953047,0.009874119,-0.009071815,-0.024975744,-0.001379945
-0.024436433,-0.042675073,-0.024436433,0.02072003,0.003860919,0.011318915,-0.021304271,-0.001379945
-0.006068503,-0.011839276,-0.006068503,-0.02772661,-0.018538287,0.003517483,-0.015768151,-0.001379945
-0.012366577,0.006343453,-0.012366577,-0.011037446,-0.010489919,-0.007923077,-0.010232032,-0.001379945
-0.0012847,0.020795627,-0.0012847,-0.020652766,0.007858108,-0.038798107,-0.004695913,-0.001379945
0.011413106,0.007995702,0.011413106,0.008398394,0.012868346,-0.018073921,-0.000712812,-0.001379945
0.017535502,-0.003416112,0.017535502,0.022814086,0.013367408,-0.00060259,-0.001060095,-0.001379945
0.000149634,-0.004689773,0.000149634,-0.012923407,-0.015267076,0.01070179,-0.002442823,-0.00317825
0.003360779,-0.012894548,0.003360779,0.021653049,0.00240816,-0.022988803,-0.006712386,0.010046104
-0.001235106,-0.051800464,-0.001235106,-0.006114142,0.010993344,-0.042410641,-0.006926001,-0.031338018
-0.009121584,0.009484083,-0.009121584,-0.01235549,0.010083273,0.025600481,-0.012403085,-0.020480578
0.018548628,0.009484083,0.018548628,-0.012160951,-0.021629751,-0.011759211,-0.024711686,-0.012089001
0.001809629,0.009484083,0.001809629,0.013658242,-0.007590864,0.051317057,0.034004472,-0.008714819
-0.010252852,0.009484083,-0.010252852,-0.032506138,-0.007590864,-0.001974161,-2.58e-05,-0.010625348
-0.009282669,0.009484083,-0.009282669,0.013751408,-0.007590864,-0.011267055,0.007798274,-0.02328681
-0.009005374,0.009484083,-0.009005374,0.0026719,-0.007590864,0.019518218,0.003882585,-0.02009304
0.000427882,0.009484083,0.000427882,0.020440755,-0.007590864,-0.024964228,-0.016171049,-0.001560502
0.022417466,0.009484083,0.022417466,-1.52e-05,-0.007590864,0.010584747,0.001372507,-0.001264233
-0.006674246,0.009484083,-0.006674246,-0.022109085,-0.007590864,-0.002648782,-0.005001192,-0.001919149
-0.016361357,0.009484083,-0.016361357,0.002999317,-0.007590864,-0.011864848,-0.011374903,-0.025914478
0.009525735,-0.003327399,0.009525735,-0.00522453,-0.007590864,0.001044763,-0.01774859,0.008706368
-0.011504977,-0.011332061,-0.011504977,-0.021008501,-0.007590864,-0.027808865,-0.007025423,-0.012518082
-0.019826588,0.007144975,-0.019826588,-0.0176308,-0.007590864,0.006225388,0.03473892,-0.007406714
-0.022834051,-0.032820766,-0.022834051,-0.010777838,0.003477971,-0.034847258,0.024799405,-0.004410054
-0.011041662,-0.036346203,-0.011041662,0.01601577,-0.000845652,0.001482806,-0.000531896,-0.005712939
-0.00057791,0.009039442,-0.00057791,0.000435304,-0.007304153,-0.006920661,-0.006949363,-0.009064633
0.006185996,-0.028619073,0.006185996,0.025381377,0.005197677,0.03064069,0.02271783,-0.01658137
0.010176738,0.026745908,0.010176738,0.013194968,-0.009604383,0.01520632,0.005175209,-0.000832521
0.006446342,0.003791317,0.006446342,0.018781449,-0.009631526,0.008029993,0.001331207,0.028365615
0.002427038,-0.013461382,0.002427038,-0.016892014,-0.000824468,-0.019161773,0.031047287,-0.00337857
-0.002396516,0.00224189,-0.002396516,0.016712699,-0.013085929,-0.000219643,0.009068055,-0.019180395
-0.010687234,-0.03767965,-0.010687234,-0.012274193,0.001248766,-0.024086244,-0.044222253,-0.028635999
-0.017533251,-0.029282699,-0.017533251,-0.019098359,0.002735724,-0.041542221,-0.03956481,-0.025195145
-0.000656374,-0.016072851,-0.000656374,-0.019390066,-0.003957631,-0.012397561,0.011257125,-0.025195145
-0.003703555,0.023601418,-0.003703555,-0.012974153,-0.008544003,0.009160651,0.014621718,-0.025195145
-0.006057154,9.63e-05,-0.006057154,-0.005343052,-0.012419108,-0.024414356,-0.002211383,-0.018801125
-0.006480758,-0.021537482,-0.006480758,-0.000586797,-0.011246008,-0.045311766,-0.016884098,-0.006406879
-0.009158674,0.011061654,-0.009158674,0.003648769,-0.008369044,0.013969564,-0.025545804,-0.002475514
-0.018108869,-0.014705377,-0.018108869,-0.017990112,-0.02445635,-0.009152392,-0.034207421,-0.015738363
-0.020584545,-0.030438623,-0.020584545,0.001685469,-0.046943675,-0.001119796,-0.02627484,-0.019832365
-0.005048055,0.032107338,-0.005048055,-0.003313246,-0.010077713,0.008404927,0.003100016,-0.005300008
0.006065642,-0.026581968,0.006065642,-0.014286833,-0.010077713,0.02160263,-0.019690176,0.000768094
0.004876839,-0.022032521,0.004876839,0.003490842,-0.010077713,-0.011596471,-0.000469158,-0.01035667
0.000912662,-0.010269949,0.000912662,-0.019530214,-0.010077713,-0.00402621,0.007211955,-0.01177104
-0.010770458,-0.000115213,-0.010770458,-0.01182192,-0.010077713,0.003096238,0.010311227,0.006536384
-0.016439749,-0.001630916,-0.016439749,0.002953952,-0.010077713,0.006968045,0.00066897,0.010734498
